,Debtor,Creditor,Type,Reference,Initial Amount,Currency,Bank,Charges,Date,Time (local),Status,str amount,unique ref + amount,country code,country
0,Alpha Inc,ACME INVEST.,fin.101,REF211,10000.0,USD,CHASUS3AXXX,0.02,2021-03-16,08:15:00,NEW,10000.0,REF21110000.0ACME INVEST.USD,US,United States of America
1,Alpha Inc,ACME INVEST.,fin.101,REF211,10000.0,USD,BINAADADXXX,0.015,2021-03-17,15:45:00,COMPLETED,10000.0,REF21110000.0ACME INVEST.USD,AD,Andorra
2,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,4537.0,USD,CHASUS3AXXX,0.02,2021-03-16,2013-10-01 00:00:00,NEW,4537.0,REFTEST014537.0ACME ONE CORP. USD,US,United States of America
3,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,4537.0,USD,BINAADADXXX,0.01,2021-03-16,12:45:00,PENDING,4537.0,REFTEST014537.0ACME ONE CORP. USD,AD,Andorra
4,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,4537.0,USD,BSJUARBJXXX,0.02,2021-03-18,14:15:00,COMPLETED,4537.0,REFTEST014537.0ACME ONE CORP. USD,AR,Argentina
5,Alpha Inc,ACME PRIVATE.,fin.101,REF211,1000000.0,USD,CHASUS3AXXX,0.01,2021-11-02,08:34:00,NEW,1000000.0,REF2111000000.0ACME PRIVATE.USD,US,United States of America
6,Alpha Inc,ACME PRIVATE.,fin.101,REF211,1000000.0,EUR,AGRIFRPPXXX,0.015,2021-11-03,12:40:00,PENDING,1000000.0,REF2111000000.0ACME PRIVATE.EUR,FR,France
7,Alpha Inc,ACME PRIVATE.,fin.101,REF211,1000000.0,EUR,REDJBY22XXX,0.015,2021-11-03,17:34:00,COMPLETED,1000000.0,REF2111000000.0ACME PRIVATE.EUR,BY,Belarus
8,Alpha Inc,ACME TRADE.,fin.101,REF211,11000.0,USD,CHASUS3AXXX,0.02,2021-03-16,09:16:00,NEW,11000.0,REF21111000.0ACME TRADE.USD,US,United States of America
9,Alpha Inc,ACME TRADE.,fin.101,REF211,11000.0,USD,AGRIFRPPXXX,0.01,2021-03-16,12:32:00,COMPLETED,11000.0,REF21111000.0ACME TRADE.USD,FR,France
10,Alpha Inc,ACME TRUST.,fin.101,REF21,23900.0,USD,CHASUS3AXXX,0.02,2021-03-16,10:11:00,NEW,23900.0,REF2123900.0ACME TRUST.USD,US,United States of America
11,Alpha Inc,ACME TRUST.,fin.101,REF21,23900.0,EUR,AGRIFRPPXXX,0.03,2021-03-16,17:34:00,DELIVERED,23900.0,REF2123900.0ACME TRUST.EUR,FR,France
12,Alpha Inc,ACME TWO SCRL,fin.101,REF111,5643.0,USD,CHASUS3AXXX,0.02,2021-03-20,13:14:00,NEW,5643.0,REF1115643.0ACME TWO SCRLUSD,US,United States of America
13,Alpha Inc,ACME TWO SCRL,fin.101,REF111,5643.0,USD,BINAADADXXX,0.01,2021-03-21,12:34:00,COMPLETED,5643.0,REF1115643.0ACME TWO SCRLUSD,AD,Andorra
14,Alpha Inc,ALT INC ,fin.101,REFD202102,4569.0,USD,CHASUS3AXXX,0.02,2021-02-21,10:23:00,NEW,4569.0,REFD2021024569.0ALT INC USD,US,United States of America
15,Alpha Inc,ALT INC ,fin.101,REFD202102,4569.0,USD,AGRIFRPPXXX,0.01,2021-02-21,11:43:00,PROCESSING,4569.0,REFD2021024569.0ALT INC USD,FR,France
16,Alpha Inc,ALT INC ,fin.101,REFD202102,4569.0,USD,REDJBY22XXX,0.08,2021-02-21,17:02:00,PROCESSING,4569.0,REFD2021024569.0ALT INC USD,BY,Belarus
17,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,456.0,USD,CHASUS3AXXX,0.01,2021-02-26,12:43:00,NEW,456.0,REFD202103456.0ALT-2 INC USD,US,United States of America
18,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,456.0,USD,CHASUS3AXXX,0.02,2021-02-26,15:41:00,PENDING,456.0,REFD202103456.0ALT-2 INC USD,US,United States of America
19,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,456.0,USD,CHASUS3AXXX,0.01,2021-02-26,18:10:00,DELIVERED,456.0,REFD202103456.0ALT-2 INC USD,US,United States of America
20,Alpha Inc,Beta Corp,fin.101,REF001,3326.0,USD,CHASUS3AXXX,0.01,2022-01-10,12:43:00,NEW,3326.0,REF0013326.0Beta CorpUSD,US,United States of America
21,Alpha Inc,Beta Corp,fin.101,REF001,3326.0,USD,CHASUS3AXXX,0.02,2022-01-11,14:32:00,PENDING,3326.0,REF0013326.0Beta CorpUSD,US,United States of America
22,Alpha Inc,Beta Corp,fin.101,REF001,3326.0,EUR,BINAADADXXX,0.01,2022-01-11,18:21:00,PENDING,3326.0,REF0013326.0Beta CorpEUR,AD,Andorra
